"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"HO068843.1" 15.0055963667685 9.5446546061576 2.63685822936863 3.61970715749969 0.000294936611230041 0.00841507435552787
"HO068848.1" 93.6128682706916 -7.92431870771008 2.38517349821468 -3.32232381151371 0.00089271029272386 0.015964849301934
"HO068870.1" 40.9873916066724 -6.73386924616264 2.45962820287986 -2.73775899881059 0.0061859389356953 0.0424145269135879
"HO068879.1" 45.7549796676981 -6.89311922821294 2.56444177530636 -2.68796090228621 0.00718898135287774 0.0452018583531722
"HO068906.1" 595.261858227374 -8.96250420342343 2.23522847081152 -4.00965911111963 6.0806468213207e-05 0.00299011520249694
"HO068909.1" 70.4020429323626 -7.51432444172704 2.54024954680785 -2.9581048252404 0.00309536842611196 0.0305755815459986
"HO068945.1" 261.798195353595 -7.33719345556267 2.19684373337311 -3.33987954814469 0.000838147339262698 0.0156048413810409
"HO068988.1" 165.170893233848 -8.74403501797021 2.50378268845741 -3.49232984886457 0.000478826552755448 0.0111391745561138
"HO069024.1" 276.029867129817 -9.48466629839626 2.40171263806787 -3.94912619772301 7.84369937419414e-05 0.00358528921543873
"HO069027.1" 99.5574147186507 -8.01389281616599 2.46055461095983 -3.25694572291564 0.00112617965044759 0.0183608544325337
"HO069043.1" 94.3565072874469 -7.9365461618921 2.47762807577996 -3.20328391475532 0.00135869960423191 0.0200990747523118
"HO069046.1" 112.010320524172 -8.18381704427499 2.43947160969413 -3.35474986130341 0.000794367785579265 0.0152171848515636
"HO069064.1" 83.0456014202301 -7.75228294332597 2.4372076902358 -3.18080521999991 0.00146866338888829 0.0209251875217336
"HO069105.1" 84.0672323940148 -21.1714096570258 2.98938108033909 -7.08220500767481 1.41878553304459e-12 3.88020541025096e-10
"HO069210.1" 209.209303194952 -9.084770386937 2.37846906890049 -3.81958735798766 0.000133675111745649 0.00520593708058891
"HO069242.1" 62.2155694486592 -7.33608027947348 2.52033149041369 -2.91076007556027 0.00360550761177178 0.0330839254098175
"HO069275.1" 39.7786489151492 10.9251946988245 2.54892466084728 4.28619757446768 1.81757351400829e-05 0.00128990201345411
"HO069517.1" 195.573722176029 -8.98764521716653 2.41096569621828 -3.72781961653959 0.000193143535467334 0.00660776301599748
"HO069537.1" 153.010707722004 -8.63370789164987 2.4515041490471 -3.52180023640009 0.000428627000011358 0.0104572053961459
"HO069539.1" 57.9956051131237 -7.23249284066304 2.64256500500405 -2.73692144827747 0.00620170996529511 0.0424145269135879
"HO069547.1" 285.686854026025 -23.0984752847765 3.02866407271428 -7.62662174814116 2.40985336430782e-14 2.70216857739836e-11
"JG297917.1" 25.5519594622752 5.18631412302905 1.88138582326077 2.75664569112159 0.00583975908747799 0.0415012037862581
"JG297937.1" 48.0283996610955 -6.96302679728822 2.59714786106927 -2.68102825474922 0.00733963184984547 0.0454968199119433
"JG298003.1" 11.3353942726503 6.3314453546963 2.3795411299763 2.66078416335647 0.00779589131055998 0.0470227699114089
"JG298103.1" 50.1027625397094 -7.0223503658399 2.42126432871031 -2.90028241963172 0.00372826575326854 0.0334976313232373
"JG298108.1" 69.6806703119478 -7.49936798851308 2.74619963554016 -2.73081675908022 0.00631775879379648 0.0428702314944902
"JG298143.1" 46.2379415792832 -6.90825744370859 2.56841733335444 -2.68969429305563 0.00715175014787372 0.0452018583531722
"JG298297.1" 38.7001151402543 10.8843841466276 2.638221327908 4.12565239750317 3.69685282022861e-05 0.00220493673793742
"JG298308.1" 36.0852690783527 -6.54922992176866 2.44790070752779 -2.67544753822263 0.00746295522845088 0.0458783536056029
"JG298360.1" 39.233276936237 -6.66915297785613 2.44887539147137 -2.72335334050994 0.00646229007952769 0.043259296331199
"JG298457.1" 243.838818838296 -9.30543277042955 2.3733646460707 -3.92077668546865 8.82640289823212e-05 0.00383606417433631
"JG298549.1" 52.5393831856686 -7.09240272396069 2.54217100688305 -2.78989993385876 0.00527243342183319 0.0398650006466727
"JG298560.1" 32.4773176619632 10.6316925601293 2.90564301131954 3.65898099618959 0.000253220114682897 0.00776452458005766
"JG298598.1" 62.2632515904252 -7.33716634082333 2.50836013327281 -2.92508489650171 0.00344362262619025 0.032312418834704
"JG298714.1" 92.6023167322938 -7.90917161346634 2.40251081042761 -3.29204413113905 0.000994620028451145 0.0170530189281693
"JG298781.1" 45.4222544583648 -6.88068530331255 2.43211747073932 -2.82909250317623 0.00466802044154997 0.0375753863683416
"JG298947.1" 336.967877848891 7.28609364623202 2.19014215500364 3.32676745643476 0.000878596601589119 0.0158231145618964
"JG299015.1" 15.4085302271652 9.59020733412795 2.65764311542773 3.60853843710481 0.000307926897513075 0.00868633570711275
"JG299022.1" 73.5975811625775 -7.57794845010946 2.41946125165474 -3.13208093121007 0.00173572022003546 0.0227435938251607
"JG299113.1" 171.805445071139 -6.72749628399018 2.2117666898162 -3.04168442131175 0.00235258400101447 0.0266557203990233
"JG299122.1" 36.8060788648945 -6.57898792782179 2.48735852248065 -2.64496970113523 0.00816982320688789 0.0481641575283039
"JG299191.1" 12.9909270647853 9.29273998421402 3.03759120133533 3.05924641213371 0.00221894555636198 0.0259447721829895
"JG299192.1" 17.1747943580699 9.72169858817931 2.59028521155835 3.75313828176111 0.000174634456301983 0.00621643224925123
"JG299520.1" 113.743231184315 -21.8531929764199 2.99533460263052 -7.29574350632758 2.97014262665847e-13 1.2672106162099e-10
"JG299548.1" 302.955635002461 9.06486128778465 1.84448416973587 4.9145779814867 8.89739059798113e-07 0.000126286633892611
"JG299591.1" 36.5271762912525 -6.56579958999883 2.4631069085505 -2.66565757548165 0.00768379128148277 0.0466729965543154
"JG299619.1" 45.8205520982161 -6.89516232438999 2.54711750973648 -2.70704523761974 0.00678850063319607 0.0440861041838934
"JG299649.1" 241.551960548453 -9.29199326184962 2.35860182212961 -3.93961930100595 8.16110110078933e-05 0.00366041706572603
"JG299775.1" 52.3402501861674 -7.085054060335 2.42942747348906 -2.91634722075473 0.0035415612461729 0.0328105838140058
"JG299797.1" 52.8800449161132 -7.09927492565296 2.49670422760714 -2.84345852710674 0.00446268168778661 0.0369204706790319
"JG299805.1" 52.7798618197062 -7.09742605139142 2.41815720043744 -2.93505569038585 0.00333487828942036 0.0319163835997602
"JG299806.1" 41.4728767517715 -6.75072890429356 2.45223720416142 -2.75288577011948 0.00590725038332681 0.0417674026989288
"JG299833.1" 76.965167183078 -7.64199473982674 2.39282664239534 -3.19371015201365 0.00140457063821546 0.0204273029394423
